business,cluster number
Philadelphia Museum of Art,Cluster_0
Lemon Hill Mansion,Cluster_0
Philadelphia Zoo,Cluster_0
Fairmount Water Works,Cluster_0
Philly Official Guide,Cluster_1
Fante's Kitchen Shop,Cluster_1
Pollyodd,Cluster_1
Pat's King of Steaks,Cluster_1
Photography Tours of Philadelphia,Cluster_10
StrEATS of Philly Food Tours,Cluster_10
Mask and Wig,Cluster_10
The Masonic Library and Museum of Pennsylvania,Cluster_10
Shibe Vintage Sports,Cluster_10
Palace Travel,Cluster_10
Pennsylvania Academy of Fine Arts,Cluster_10
Rittenhouse Square Park,Cluster_10
Reading Terminal Market,Cluster_10
Philly Brew Tours by City Brew Tours,Cluster_10
Dilworth Park,Cluster_10
Philadelphia Weekly Taste of Philly,Cluster_10
City of Philadelphia,Cluster_10
Auto Show Philadelphia,Cluster_10
ROOST Apartment Hotel,Cluster_10
City Hall,Cluster_10
The Philadelphia Orchestra,Cluster_10
The Dwight D,Cluster_10
The Rosenbach,Cluster_10
Walt Whitman Bridge,Cluster_11
Chew Philly Food Tours,Cluster_12
Hidden River Outfitters,Cluster_12
Fort Mifflin,Cluster_13
The Metropolitan Opera House,Cluster_14
Chinatown,Cluster_14
Chef Joseph Poon,Cluster_15
The African American Museum in Philadelphia,Cluster_15
Mother Bethel African Methodist Episcopal Church,Cluster_15
The Franklin Residences,Cluster_15
National Museum of American Jewish History,Cluster_15
Benjamin Franklin's Grave,Cluster_15
Shaxian Delicacies,Cluster_15
Bow Tie Tours,Cluster_15
National Constitution Center,Cluster_15
Independence After Hours,Cluster_15
The Big Bus Company,Cluster_15
The Constitutional Walking Tour,Cluster_15
Independence Beer Garden,Cluster_15
"Historic Philadelphia, Inc",Cluster_15
Grim Philly Twilight Tours,Cluster_15
Ghost Tour of Philadelphia,Cluster_15
German Society of Pennsylvania,Cluster_15
Franklin Square,Cluster_15
Franklin Square Mini Golf,Cluster_15
The Musical History Tours,Cluster_15
Philadelphia Sightseeing Tours & Transportation,Cluster_15
Philadelphia Segway Tours By Wheel Fun Rentals,Cluster_15
Yards Brewing Company,Cluster_15
Rodin Museum,Cluster_16
Academy of Natural Sciences,Cluster_16
Eastern State Penitentiary Halloween Nights,Cluster_16
Philly Bike Tour,Cluster_16
Sister Cities Park,Cluster_16
The Philadelphia Shakespeare Theatre,Cluster_16
The Barnes Foundation,Cluster_16
The MÃ¼tter Museum,Cluster_16
The Oval,Cluster_16
Eastern State Penitentiary Historic Site,Cluster_16
Wine School of Philadelphia,Cluster_16
The Franklin Institute Science Museum,Cluster_16
Pizza Brain,Cluster_17
Neon Museum of Philadelphia,Cluster_17
Shofuso Japanese House & Garden,Cluster_18
Please Touch Museum,Cluster_18
Simeone Foundation Automotive Museum,Cluster_19
Birchtree Catering,Cluster_2
Penn Museum,Cluster_20
"The Inn at Penn, a Hilton Hotel",Cluster_20
Avril 50,Cluster_20
Juniata Golf Club,Cluster_21
Lest We Forget Slavery Museum,Cluster_22
Awbury Arboretum,Cluster_3
Ebenezer Maxwell Mansion,Cluster_3
76 Carriage Company,Cluster_4
Philadelphia Trolley Works,Cluster_4
Glen Foerd on the Delaware,Cluster_5
Humphrys Flag Company,Cluster_6
Founding Footsteps,Cluster_6
Elfreths Alley Museum,Cluster_6
Cherry Street Pier,Cluster_6
Independence Seaport Museum,Cluster_6
Campo's Philly Cheesesteaks,Cluster_6
Tullycross Fine Irish Handcrafts,Cluster_6
Big Red Pedal Tours,Cluster_6
Benjamin Franklin Museum,Cluster_6
Benjamin Franklin Bridge,Cluster_6
Lokal Hotel,Cluster_6
Christ Church Burial Ground,Cluster_6
Philly Tour Hub,Cluster_6
Philadelphia Urban Adventures,Cluster_6
The Betsy Ross House,Cluster_6
Powel House,Cluster_6
Patriot Harbor Lines,Cluster_6
Sassafras Bar,Cluster_6
Shane Confectionery,Cluster_6
Old City District,Cluster_6
National Liberty Museum,Cluster_6
Jim's South St,Cluster_6
Museum of the American Revolution,Cluster_6
Sonny's Famous Steaks,Cluster_6
South Street Headhouse District,Cluster_6
Spirits of '76 Ghost Tours,Cluster_6
Jules Goldman Books and Antiques,Cluster_6
The Center For Art In Wood,Cluster_6
The Navy Yard,Cluster_7
FDR Park,Cluster_7
The American Swedish Historical Museum,Cluster_7
Lincoln Financial Field Tours,Cluster_7
Morris Arboretum,Cluster_8
Woodmere Art Museum,Cluster_8
Philadelphia Soft Pretzels Inc,Cluster_9
