name,address,latitude,longitude,stars,price,attraction_type,perks,family oriented,history oriented,activity oriented,nature oriented,food oriented,shopping oriented
76 Carriage Company,1350 Schuylkill Ave,39.9375741,-75.2037673,4.5,$$$,Tours,Local Flavor,high family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Academy of Natural Sciences,1900 Benjamin Franklin Pkwy,39.957018627,-75.1712603922,4.0,$$$,Museums,Not Applicable,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Auto Show Philadelphia,1101 Arch St,39.9540710998,-75.1593234008,3.5,$$,Festivals,Automotive,medium family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,low shopping oriented
Avril 50,3406 Sansom St,39.9535136,-75.1925556,4.5,$$,Local Flavor,Specialty Food,low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Awbury Arboretum,1 Awbury Rd,40.050556,-75.168113,4.5,$$,Parks,Active Life,medium family oriented,high history oriented,low activity oriented,high nature oriented,medium food oriented,no shopping oriented
Benjamin Franklin Bridge,US 676,39.9529445595,-75.1343607903,4.5,$$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Benjamin Franklin Museum,317 Chestnut St,39.9494843329,-75.1467383211,4.0,$$,Museums,Arts & Entertainment,high family oriented,medium history oriented,medium activity oriented,no nature oriented,no food oriented,low shopping oriented
Benjamin Franklin's Grave,5th and arch Streets,39.9524817544,-75.1486782067,4.5,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Big Red Pedal Tours,218 Market St,39.9497522,-75.1444806,4.0,$$$,Tours,Bike tours,low family oriented,medium history oriented,high activity oriented,low nature oriented,medium food oriented,no shopping oriented
Birchtree Catering,4500 Worth St,40.008612,-75.081733,5.0,$$$$,Local Flavor,Wedding Planning,high family oriented,medium history oriented,low activity oriented,medium nature oriented,high food oriented,no shopping oriented
Bow Tie Tours,6TH And Market St,39.9506155049,-75.1503472803,4.5,$$$,Tours,Historical Tours,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Campo's Philly Cheesesteaks,214 Market St,39.9497014,-75.1442745,3.5,$$,Local Flavor,Cheesesteaks,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Chef Joseph Poon,1010 Cherry St,39.9543466,-75.156613,3.0,$$$,Local Flavor,Cooking Classes,medium family oriented,medium history oriented,medium activity oriented,no nature oriented,high food oriented,low shopping oriented
Cherry Street Pier,121 N Columbus Blvd,39.952804,-75.139738,4.0,$$,Landmarks & Historical Buildings,Local Flavor,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,medium food oriented,low shopping oriented
Chew Philly Food Tours,4212 Main St,40.023867,-75.22083,4.5,$$$,Local Flavor,Food Tours,medium family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,low shopping oriented
Chinatown,North 12th St,39.9768041498,-75.1544603971,5.0,$$,Local Flavor,Not Applicable,medium family oriented,medium history oriented,medium activity oriented,no nature oriented,high food oriented,medium shopping oriented
Christ Church Burial Ground,20 N American St,39.9507644242,-75.1439327404,4.0,$$,Parks,Religious significance,low family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
City Hall,1450 John F Kennedy Blvd,39.9523991022,-75.1635996804,4.0,$$,Landmarks & Historical Buildings,Local Flavor,medium family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
City of Philadelphia,1 Penn Sq,39.9523942224,-75.1635988202,3.5,$$$,Local Flavor,Landmarks & Historical Buildings,medium family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,medium shopping oriented
Dilworth Park,1 S 15th St,39.952505,-75.165131,4.5,$$,Parks,Shopping,high family oriented,medium history oriented,medium activity oriented,low nature oriented,medium food oriented,medium shopping oriented
Eastern State Penitentiary Halloween Nights,2027 Fairmount Ave,39.9683684,-75.1726552,2.0,$$$,Haunted Houses,Arts & Entertainment,low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Eastern State Penitentiary Historic Site,2027 Fairmount Ave,39.9683684,-75.1726552,4.5,$$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
Ebenezer Maxwell Mansion,200 W Tulpehocken St,40.0381645,-75.183676,3.5,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Elfreths Alley Museum,126 Elfreth's Aly,39.9527089,-75.1424869,4.5,$$,Museums,Arts & Entertainment,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Fairmount Water Works,640 Waterworks Dr,39.9660351,-75.1834918,4.5,$$$,Landmarks & Historical Buildings,Not Applicable,high family oriented,high history oriented,medium activity oriented,high nature oriented,medium food oriented,no shopping oriented
Fante's Kitchen Shop,1006 S 9th St,39.9373725,-75.1583456,4.5,$$,Local Flavor,Specialty Food,medium family oriented,medium history oriented,medium activity oriented,no nature oriented,high food oriented,high shopping oriented
FDR Park,1500 Pattison Ave,39.9055502,-75.1755824,4.0,$$,Parks,Active Life,high family oriented,medium history oriented,high activity oriented,medium nature oriented,high food oriented,low shopping oriented
Fort Mifflin,6400 Hog Island Rd,39.8753247,-75.213082,4.0,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Founding Footsteps,302 Arch St,39.9520345,-75.1454345,5.0,$$$,Tours,Historical Tours,high family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,no shopping oriented
Franklin Square Mini Golf,200 N 6th St,39.9558477204,-75.1504862309,4.0,$$$,Parks,Kids Activities,high family oriented,medium history oriented,medium activity oriented,low nature oriented,medium food oriented,no shopping oriented
Franklin Square,200 N 6th St,39.9556999,-75.1501373,4.0,$$$,Parks,Active Life,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,medium food oriented,no shopping oriented
German Society of Pennsylvania,611 Spring Garden St,39.9616337097,-75.1492484038,3.5,$$$,Landmarks & Historical Buildings,Not Applicable,low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Ghost Tour of Philadelphia,5TH And Chestnut,39.9490351,-75.1491893,3.0,$$,Tours,Not Applicable,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Glen Foerd on the Delaware,5001 Grant Ave,40.0515769,-74.9789134,4.0,$$$,Museums,Venues & Event Spaces,medium family oriented,high history oriented,medium activity oriented,high nature oriented,medium food oriented,no shopping oriented
Grim Philly Twilight Tours,Market and N 6th St,39.9509039,-75.1501212,4.0,$$$,Tours,Haunted Houses,low family oriented,high history oriented,medium activity oriented,no nature oriented,medium food oriented,no shopping oriented
Hidden River Outfitters,4100 Main St,40.0222502,-75.218689,4.5,$$$,Active Life,Rafting/Kayaking,medium family oriented,medium history oriented,high activity oriented,high nature oriented,no food oriented,no shopping oriented
"Historic Philadelphia, Inc","600 Walnut St, Ste 130",39.948321,-75.151952,4.5,$$$,Tours,Not Applicable,medium family oriented,high history oriented,medium activity oriented,no nature oriented,medium food oriented,high shopping oriented
Humphrys Flag Company,238 Arch St,39.9519567,-75.144619,3.5,$$,Local Flavor,Souvenir Shops,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
Independence After Hours,600 Chestnut St,39.9491008173,-75.1491766423,4.5,$$$,Tours,Dinner Theater,medium family oriented,high history oriented,medium activity oriented,no nature oriented,medium food oriented,no shopping oriented
Independence Beer Garden,100 S Independence Mall W,39.9502943,-75.150981,3.5,$$,Bars,Beer Gardens,medium family oriented,medium history oriented,high activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Independence Seaport Museum,211 S Columbus Blvd,39.9459179924,-75.1404742245,4.0,$$$,Museums,Not Applicable,high family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
Jim's South St,400 S St,39.941498,-75.149272,3.5,$$,Restaurants,Local Flavor,medium family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Jules Goldman Books and Antiques,29 N 2nd St,39.9507335,-75.1430684,4.0,$$,Shopping,Antiques & Books,low family oriented,medium history oriented,medium activity oriented,no nature oriented,no food oriented,high shopping oriented
Juniata Golf Club,1391 E Cayuga St,40.0165748179,-75.1019701564,2.5,$$,Golf,Not Applicable,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,medium food oriented,low shopping oriented
Lemon Hill Mansion,1 Lemon Hill dr,39.970756,-75.187195,3.0,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,medium activity oriented,high nature oriented,no food oriented,no shopping oriented
Lest We Forget Slavery Museum,5501 Germantown Ave,39.9886324,-75.0906987,5.0,$$,Museums,Not Applicable,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Lincoln Financial Field Tours,One Lincoln Financial Field Way,39.900998,-75.167496,4.5,$$,Stadiums & Arenas,Professional Sports Teams,high family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Mask and Wig,310 S Quince St,39.946013,-75.160521,4.5,$$$,Performing Arts,Comedy Clubs,low family oriented,high history oriented,medium activity oriented,no nature oriented,medium food oriented,no shopping oriented
Morris Arboretum,100 E Northwestern Ave,40.0897421913,-75.2229091136,4.5,$$$,Botanical Gardens,Arts & Entertainment,high family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Mother Bethel African Methodist Episcopal Church,419 S 6th St,39.9432889,-75.1517562,5.0,$$,Landmarks & Historical Buildings,Not Applicable,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Museum of the American Revolution,101 S 3rd St,39.948212,-75.1455516,4.0,$$$,Museums,Arts & Entertainment,medium family oriented,high history oriented,medium activity oriented,no nature oriented,low food oriented,medium shopping oriented
National Constitution Center,525 Arch St,39.953893,-75.149068,4.0,$$$,Museums,Not Applicable,medium family oriented,high history oriented,medium activity oriented,no nature oriented,low food oriented,low shopping oriented
National Liberty Museum,321 Chestnut St,39.94883,-75.146832,4.0,$$,Museums,Not Applicable,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
National Museum of American Jewish History,101 S Independence Mall E,39.9502433661,-75.1485609997,4.5,$$,Museums,Not Applicable,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Neon Museum of Philadelphia,"1800 N American St, Unit E",39.978546,-75.1396602,4.5,$$,Museums,Arts & Entertainment,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Old City District,231 Market St,39.9502865,-75.1447514,4.0,$$$,Local Flavor,"Shopping, Restaurants",medium family oriented,high history oriented,medium activity oriented,medium nature oriented,high food oriented,high shopping oriented
Palace Travel,"123 S Broad St, Ste 1040",39.9498227,-75.1638251,2.0,$$$,Travel Services,Not Applicable,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,low food oriented,no shopping oriented
Pat's King of Steaks,1237 E Passyunk Ave,39.9332010583,-75.159265814,3.0,$$,Local Flavor,Cheesesteaks,medium family oriented,high history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Patriot Harbor Lines,211 S Columbus Blvd,39.9457958,-75.1405828,4.5,$$$,Tours,Boating,medium family oriented,medium history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Penn Museum,3260 South St,39.949477,-75.1917841,4.5,$$,Museums,Education,high family oriented,high history oriented,low activity oriented,low nature oriented,medium food oriented,low shopping oriented
Pennsylvania Academy of Fine Arts,118-128 N Broad St,39.955637,-75.16349,4.5,$$,Museums,Art Galleries,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,medium shopping oriented
Philadelphia Museum of Art,2600 Benjamin Franklin Pkwy,39.965573,-75.180969,4.5,$$$,Museums,Jazz & Blues,medium family oriented,high history oriented,low activity oriented,medium nature oriented,medium food oriented,low shopping oriented
Philadelphia Segway Tours By Wheel Fun Rentals,1 N Independence Mall W,39.9512828,-75.1500017,4.0,$$$,Tours,Walking Tours,high family oriented,high history oriented,medium activity oriented,low nature oriented,medium food oriented,no shopping oriented
Philadelphia Sightseeing Tours & Transportation,111 S Independence Mall E,39.9497654425,-75.1487727165,3.0,$$,Tours,Event Planning & Services,medium family oriented,high history oriented,medium activity oriented,low nature oriented,low food oriented,no shopping oriented
Philadelphia Soft Pretzels Inc,4315 N 3rd St,40.0166658,-75.1317594,5.0,$$,Local Flavor,Pretzels,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,medium shopping oriented
Philadelphia Trolley Works,1350 Schuylkill Ave,39.9375741,-75.2037673,3.0,$$$,Tours,Not Applicable,low family oriented,medium history oriented,medium activity oriented,low nature oriented,no food oriented,low shopping oriented
Philadelphia Urban Adventures,229 Arch St,39.952091,-75.1401399646,4.5,$$,Tours,Not Applicable,medium family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,medium shopping oriented
Philadelphia Weekly Taste of Philly,100 East Penn Square,39.9512944,-75.1619269,2.5,$$,Local Flavor,Food Festivals,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Philadelphia Zoo,3400 W Girard Ave,39.9719921474,-75.1962714728,4.0,$$$,Zoos,Active Life,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,low food oriented,medium shopping oriented
Philly Bike Tour,2015 Fairmount Ave,39.967468,-75.17083,5.0,$$,Active Life,Bike tours,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,low food oriented,no shopping oriented
Philly Brew Tours by City Brew Tours,1277 Filbert St,39.9530598,-75.1606397,5.0,$$$,Tours,Beer Tours,low family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Philly Official Guide,229 Arch St,39.9367535,-75.1647938,5.0,$$,Tours,Arts & Entertainment,medium family oriented,high history oriented,medium activity oriented,no nature oriented,no food oriented,no shopping oriented
Philly Tour Hub,7 N. Columbus Blvd,39.951459,-75.140206,5.0,$$,Local Flavor,Walking Tours,high family oriented,medium history oriented,medium activity oriented,low nature oriented,medium food oriented,low shopping oriented
Photography Tours of Philadelphia,226 W Rittenhouse Sq,39.9490487,-75.1736448,5.0,$$$,Tours,Photography,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
Pizza Brain,2313 Frankford Ave,39.9806746,-75.1280968,4.0,$$,Museums,Specialty Food,high family oriented,high history oriented,medium activity oriented,no nature oriented,high food oriented,no shopping oriented
Please Touch Museum,4231 Ave Of The Republic,39.979483,-75.20901,4.0,$$$,Museums,Arts & Entertainment,high family oriented,medium history oriented,high activity oriented,low nature oriented,medium food oriented,low shopping oriented
Pollyodd,1908 E Passyunk Ave,39.926397,-75.167749,5.0,$$,Local Flavor,"Beer, Wine & Spirits",low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Powel House,244 S 3rd St,39.9457592,-75.1469267,4.5,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Reading Terminal Market,51 N 12th St,39.9533414645,-75.1588545174,4.5,$$,Local Flavor,Public Markets,high family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,medium shopping oriented
Rittenhouse Square Park,1800 Walnut St,39.949479455,-75.1718883762,4.5,$$,Parks,Local Flavor,medium family oriented,medium history oriented,medium activity oriented,medium nature oriented,low food oriented,high shopping oriented
Rodin Museum,2151 Benjamin Franklin Pkwy,39.9619653,-75.1739912,4.0,$$,Museums,Arts & Entertainment,medium family oriented,high history oriented,low activity oriented,medium nature oriented,no food oriented,low shopping oriented
Sassafras Bar,48 S 2nd St,39.948832,-75.144063,4.5,$$,Nightlife,Local Flavor,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Shane Confectionery,110 Market St,39.9495474,-75.1426984,4.5,$$,Local Flavor,Chocolatiers & Shops,high family oriented,high history oriented,medium activity oriented,no nature oriented,high food oriented,high shopping oriented
Shaxian Delicacies,106 N 10th St,39.9539055256,-75.1563203707,3.5,$$,Restaurants,Local Flavor,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Shibe Vintage Sports,137 S 13th St,39.9494082,-75.1618172,4.5,$$,Shopping,Sporting Goods,medium family oriented,medium history oriented,low activity oriented,no nature oriented,no food oriented,high shopping oriented
Shofuso Japanese House & Garden,Horticultural Dr And Lansdowne Dr,39.981419,-75.213578,4.0,$$$,Cultural Center,Botanical Gardens,medium family oriented,high history oriented,low activity oriented,medium nature oriented,low food oriented,low shopping oriented
Simeone Foundation Automotive Museum,6825-31 Norwitch Dr,39.9106009,-75.2264093,5.0,$$,Museums,Arts & Entertainment,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Sister Cities Park,18th St & the Benjamin Franklin Pkwy,39.9579448279,-75.1696747541,4.5,$$,Parks,Active Life,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,medium food oriented,no shopping oriented
Sonny's Famous Steaks,228 Market St,39.9499178538,-75.1447920753,4.0,$$,Local Flavor,Cheesesteaks,medium family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
South Street Headhouse District,2nd And Lombard St,39.942175,-75.145318,4.0,$$,Local Flavor,Landmarks & Historical Buildings,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,high food oriented,high shopping oriented
Spirits of '76 Ghost Tours,325 Chestnut St,39.949088,-75.147154,3.0,$$$,Tours,Ghost Tours,medium family oriented,high history oriented,medium activity oriented,low nature oriented,no food oriented,no shopping oriented
StrEATS of Philly Food Tours,"1500 Market St, Ste W-3110",39.9523167,-75.1664857,5.0,$$$,Tours,Food Tours,medium family oriented,high history oriented,medium activity oriented,no nature oriented,high food oriented,low shopping oriented
The African American Museum in Philadelphia,701 Arch St,39.9532614,-75.1517562,3.5,$$$,Museums,Cultural Center,medium family oriented,medium history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
The American Swedish Historical Museum,1900 Pattison Ave,39.9059506526,-75.1810532598,5.0,$$,Museums,Not Applicable,high family oriented,high history oriented,low activity oriented,medium nature oriented,medium food oriented,low shopping oriented
The Barnes Foundation,2025 Benjamin Franklin Pkwy,39.9605399867,-75.1725628227,4.0,$$$,Museums,Art Galleries,low family oriented,high history oriented,low activity oriented,low nature oriented,medium food oriented,low shopping oriented
The Betsy Ross House,239 Arch St,39.9522798,-75.1446095,4.0,$$,Landmarks & Historical Buildings,Historical Tours,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,medium shopping oriented
The Big Bus Company,600 Market St,39.9505117,-75.1507681,3.5,$$$,Tours,Bus Tours,medium family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,no shopping oriented
The Center For Art In Wood,141 N 3rd St,39.95339409,-75.14478933,4.5,$$$,Museums,Art Galleries,low family oriented,medium history oriented,low activity oriented,medium nature oriented,no food oriented,medium shopping oriented
The Constitutional Walking Tour,525 Arch St,39.9540249,-75.1488831,4.0,$$,Walking Tours,Not Applicable,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
The Franklin Institute Science Museum,222 N 20th St,39.9582109,-75.1731373822,4.0,$$$,Museums,Science,high family oriented,medium history oriented,medium activity oriented,low nature oriented,low food oriented,medium shopping oriented
The Masonic Library and Museum of Pennsylvania,1 N Broad St,39.9536351,-75.1627465,4.0,$$$,Museums,Not Applicable,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
The Metropolitan Opera House,858 N Broad St,39.9698791,-75.160284,3.0,$$$,Music Venues,Nightlife,low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
The Musical History Tours,6TH St And Market St,39.9507334382,-75.1501874998,5.0,$$$,Tours,Historical Tours,low family oriented,high history oriented,medium activity oriented,no nature oriented,no food oriented,no shopping oriented
The MÃ¼tter Museum,19 S 22nd St,39.953274,-75.176587,4.0,$$$,Museums,Local Flavor,low family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,medium shopping oriented
The Navy Yard,4747 S Broad St,39.8931518,-75.1745567,4.0,$$,Landmarks & Historical Buildings,Not Applicable,medium family oriented,high history oriented,medium activity oriented,medium nature oriented,medium food oriented,medium shopping oriented
The Oval,Eakins Oval,39.9637657632,-75.1785304025,4.0,$$,Parks,Active Life,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
The Philadelphia Orchestra,300 S Broad St,39.946795,-75.165666,4.5,$$,Performing Arts,Local Flavor,medium family oriented,high history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
The Philadelphia Shakespeare Theatre,2111 Sansom St,39.9517253,-75.176107,4.5,$$,Performing Arts,Local Flavor,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
The Rosenbach,2008-2010 Delancey Pl,39.9473446,-75.1749863,4.5,$$,Museums,Art Galleries,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Tullycross Fine Irish Handcrafts,110 South St,39.9409003,-75.1444366,5.0,$$,Shopping,Arts & Crafts,medium family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Walt Whitman Bridge,3100 S Front St,39.9054184489,-75.1297850597,3.5,$$$,Landmarks & Historical Buildings,Not Applicable,low family oriented,medium history oriented,low activity oriented,medium nature oriented,no food oriented,no shopping oriented
Wine School of Philadelphia,109 S 22nd St,39.952073,-75.176908,4.5,$$$,Specialty Schools,Wine Tasting Classes,low family oriented,medium history oriented,medium activity oriented,no nature oriented,medium food oriented,no shopping oriented
Woodmere Art Museum,9201 Germantown Ave,40.0831862,-75.2194183,4.5,$$,Museums,Jazz & Blues,high family oriented,medium history oriented,low activity oriented,medium nature oriented,no food oriented,low shopping oriented
Yards Brewing Company,500 Spring Garden St,39.9609706195,-75.146908,4.0,$$,Local Flavor,Nightlife,medium family oriented,high history oriented,medium activity oriented,low nature oriented,medium food oriented,low shopping oriented
